,Length,Width,Thickness,Area,Perimeter,Roundness,Solidity,Compactness,AspectRatio,Eccentricity,Extent,Convex hull,Type
564,269.3497,0,123.2821,25979,715.127,0.4559,0.9794,1.5665,0,0,0.7008,26525,SANORA
565,271.3947,0,126.1037,26818,699.8133,0.4636,0.9854,1.4532,0,0,0.7259,27214.5,SANORA
566,290.4055,0,141.8979,32296,782.0975,0.4876,0.9791,1.5072,0,0,0.7059,32985.5,SANORA
567,286.5687,0,139.7777,31446.5,762.198,0.4876,0.9816,1.4701,0,0,0.7253,32037.5,SANORA
568,284.3006,0,141.4984,31598.5,761.1686,0.4978,0.9812,1.4591,0,0,0.7336,32203.5,SANORA
569,292.8215,0,144.5137,32956,824.3818,0.4894,0.9697,1.641,0,0,0.6859,33985,SANORA
570,0,229.1825,168.8439,30322.5,702.8255,0,0.9734,1.2963,0,0,0.7198,31150,SANORA
571,0,225.0374,169.5546,30070,712.725,0,0.9771,1.3443,0,0,0.7333,30775.5,SANORA
572,0,223.2738,170.972,29878,720.926,0,0.9745,1.3843,0,0,0.7226,30661,SANORA
573,0,219.6439,171.2713,29570.5,711.1686,0,0.9738,1.3611,0,0,0.7087,30366,SANORA
574,0,172.9547,113.2214,15356.5,509.6884,0,0.9754,1.3462,0,0,0.7522,15744.5,SANORA
575,0,180.727,118.0865,16588,532.9016,0,0.9735,1.3624,0,0,0.741,17039.5,SANORA
576,0,183.9006,119.4293,17140,540.7594,0,0.9747,1.3576,0,0,0.7433,17585.5,SANORA
577,0,187.5566,122.2916,17845,547.73,0,0.9734,1.3378,0,0,0.744,18333.5,SANORA
578,302.2125,194.4228,0,45657.5,860.3646,0.6365,0.9849,1.2902,1.5544,0.7656,0.7436,46355.5,SANORA
579,294.2104,190.8369,0,43656,828.3229,0.6422,0.9888,1.2507,1.5417,0.7611,0.7412,44150,SANORA
580,296.878,193.7303,0,44823.5,851.5361,0.6475,0.986,1.2873,1.5324,0.7577,0.7397,45460.5,SANORA
581,296.0077,193.1933,0,44400.5,845.0509,0.6452,0.9864,1.2799,1.5322,0.7576,0.729,45013.5,SANORA
582,314.4315,200.6761,0,49159,873.7788,0.6331,0.9916,1.2359,1.5669,0.7699,0.7492,49576,SANORA
583,316.2777,200.1817,0,49300.5,883.6783,0.6275,0.9899,1.2605,1.58,0.7742,0.749,49801.5,SANORA
584,316.1356,200.7547,0,49334.5,874.0214,0.6285,0.9927,1.2322,1.5747,0.7725,0.7482,49697,SANORA
585,309.8882,198.2597,0,47813,864.9504,0.6339,0.9894,1.2452,1.563,0.7686,0.7439,48323.5,SANORA
586,329.5215,0,144.1232,37000,833.5534,0.4339,0.9874,1.4944,0,0,0.7261,37474,SANORA
587,324.0267,0,142.5927,36018.5,819.6539,0.4368,0.9871,1.4843,0,0,0.7265,36489,SANORA
588,346.8427,0,152.5275,41194.5,876.2813,0.436,0.9867,1.4833,0,0,0.737,41748.5,SANORA
589,355.9739,0,147.7652,40961,909.2935,0.4116,0.9836,1.6063,0,0,0.6851,41645.5,SANORA
590,359.3668,0,147.2909,41568.5,914.5656,0.4098,0.9833,1.6012,0,0,0.6855,42274,SANORA
591,367.8507,0,149.8565,42994.5,930.3646,0.4046,0.9836,1.6021,0,0,0.6833,43710,SANORA
592,356.2802,0,147.3083,40800.5,906.5656,0.4093,0.9831,1.603,0,0,0.6905,41502,SANORA
593,0,228.008,158.2719,28441,669.8965,0,0.9848,1.2556,0,0,0.7216,28879.5,SANORA
594,0,241.2636,164.6936,31187,708.3818,0,0.9844,1.2804,0,0,0.7128,31681.5,SANORA
595,0,229.6172,160.0394,29156,684.2397,0,0.983,1.2778,0,0,0.7218,29659,SANORA
596,0,223.6133,155.5819,27287.5,665.8549,0,0.9811,1.293,0,0,0.719,27812.5,SANORA
597,0,233.505,150.5262,27390,652.926,0,0.9881,1.2386,0,0,0.7428,27720,SANORA
598,0,238.9627,154.3736,28742,664.5828,0,0.99,1.2228,0,0,0.7442,29032,SANORA
599,0,243.3199,156.4567,29739,677.4112,0,0.9902,1.2279,0,0,0.7452,30033.5,SANORA
600,0,251.3217,162.1138,31708,695.5534,0,0.9905,1.2142,0,0,0.7494,32010.5,SANORA
601,285.4433,169.6774,0,37245,938.5239,0.582,0.9519,1.882,1.6823,0.8041,0.7182,39125.5,SANORA
602,287.4142,172.945,0,38595,848.3818,0.5949,0.9712,1.484,1.6619,0.7987,0.7487,39739.5,SANORA
603,290.7869,174.6441,0,39239.5,831.3107,0.5909,0.9758,1.4015,1.665,0.7996,0.7349,40214,SANORA
604,291.4435,175.368,0,39074.5,875.796,0.5857,0.9663,1.5621,1.6619,0.7987,0.7327,40437,SANORA
605,286.0976,169.3214,0,37225,984.3229,0.5791,0.938,2.0712,1.6897,0.8061,0.7019,39685.5,SANORA
606,288.5036,169.1671,0,37843.5,957.5361,0.5789,0.9463,1.928,1.7054,0.8101,0.7231,39992,SANORA
607,291.7038,170.9082,0,38798.5,919.9382,0.5806,0.9584,1.7358,1.7068,0.8104,0.7282,40483,SANORA
608,289.806,170.1684,0,38366.5,924.9087,0.5816,0.947,1.7743,1.7031,0.8095,0.6936,40512.5,SANORA
609,244.4595,0,95.159,18090.5,677.6295,0.3854,0.9485,2.0199,0,0,0.7296,19072,SANORA
610,244.9984,0,96.5686,18453.5,650.6589,0.3914,0.9587,1.8257,0,0,0.7281,19247.5,SANORA
611,247.1732,0,96.3212,18516.5,695.9726,0.3859,0.9515,2.0817,0,0,0.7094,19459.5,SANORA
612,245.0535,0,95.9794,18306.5,651.4874,0.3881,0.9616,1.845,0,0,0.7297,19037,SANORA
613,211.6043,0,77.4706,12896,539.6467,0.3667,0.9614,1.797,0,0,0.7127,13414,SANORA
614,212.2365,0,76.7887,12721,519.1615,0.3596,0.9751,1.6861,0,0,0.7204,13046,SANORA
615,209.9701,0,77.3192,12778,523.1615,0.369,0.9743,1.7045,0,0,0.7148,13115.5,SANORA
616,207.6203,0,75.8647,12255,515.1615,0.362,0.9711,1.7233,0,0,0.7016,12620,SANORA
617,0,155.6944,93.9137,11370.5,477.4041,0,0.9498,1.5951,0,0,0.7449,11972,SANORA
618,0,148.5939,91.4756,10537.5,454.2325,0,0.9423,1.5581,0,0,0.7028,11183,SANORA
619,0,153.619,92.2364,10910.5,480.0904,0,0.9318,1.6811,0,0,0.7039,11709.5,SANORA
620,0,145.0193,88.9662,9922.5,449.4041,0,0.9353,1.6197,0,0,0.6937,10608.5,SANORA
621,318.9952,192.6598,0,47266,885.8377,0.5914,0.9858,1.3211,1.6557,0.797,0.754,47948.5,SANORA
622,315.7487,186.4211,0,45851,932.9504,0.5856,0.9823,1.5106,1.6937,0.8071,0.7546,46675,SANORA
623,311.5981,191.8441,0,46079,862.6661,0.6043,0.9873,1.2852,1.6242,0.788,0.7545,46672.5,SANORA
624,317.2247,192.5445,0,46984.5,870.4234,0.5945,0.9881,1.2832,1.6475,0.7947,0.7581,47552,SANORA
625,272.7509,163.8059,0,34824,770.4407,0.596,0.9826,1.3564,1.6651,0.7996,0.7405,35442,SANORA
626,269.6506,161.5794,0,33990,767.6123,0.5952,0.9813,1.3795,1.6688,0.8006,0.7411,34636,SANORA
627,270.0442,163.5898,0,34304.5,756.198,0.599,0.9844,1.3265,1.6507,0.7956,0.7408,34849.5,SANORA
628,272.1798,164.9245,0,34834.5,759.3696,0.5987,0.9851,1.3173,1.6503,0.7955,0.754,35360.5,SANORA
629,400.4007,0,159.5881,50399.5,1004.5656,0.4003,0.9855,1.5934,0,0,0.7675,51143.5,SANORA
630,400.9779,0,158.6765,50299.5,1015.3351,0.3983,0.9833,1.631,0,0,0.7454,51152.5,SANORA
631,403.6317,0,156.3437,49558,1013.9209,0.3873,0.9848,1.6508,0,0,0.7435,50325,SANORA
632,419.4789,0,161.3701,53394.5,1072.3057,0.3864,0.9832,1.7137,0,0,0.7436,54305.5,SANORA
633,275.1899,0,103.8463,22227.5,692.9432,0.3737,0.9739,1.7191,0,0,0.6964,22823.5,SANORA
634,284.7439,0,109.4218,24022,731.8133,0.3772,0.9693,1.7741,0,0,0.696,24782,SANORA
635,285.2553,0,107.385,23771.5,723.9138,0.372,0.9724,1.7543,0,0,0.6911,24447,SANORA
636,280.6602,0,105.4178,22943.5,695.7716,0.3709,0.9788,1.6791,0,0,0.694,23440.5,SANORA
637,0,143.8195,91.6832,10406.5,410.5757,0,0.9775,1.2891,0,0,0.7249,10645.5,SANORA
638,0,141.3867,93.4669,10295.5,423.061,0,0.9689,1.3834,0,0,0.7123,10626.5,SANORA
639,0,151.1132,96.1894,11356,430.6762,0,0.9773,1.2998,0,0,0.74,11619.5,SANORA
640,0,149.3462,95.1698,11154,420.8183,0,0.9819,1.2634,0,0,0.7439,11360,SANORA
641,0,217.957,120.088,20500,584.3574,0,0.986,1.3255,0,0,0.7354,20792,SANORA
642,0,213.332,116.7221,19486.5,566.8011,0,0.9873,1.312,0,0,0.7387,19737.5,SANORA
643,0,213.1754,117.0026,19576,569.0437,0,0.9864,1.3163,0,0,0.7361,19845,SANORA
644,0,213.9228,117.9675,19858.5,575.2864,0,0.9856,1.3262,0,0,0.7313,20149.5,SANORA
645,352.5381,203.557,0,56362,979.0925,0.5774,0.984,1.3535,1.7319,0.8165,0.7582,57276.5,SANORA
646,358.4744,205.2661,0,57384,981.4356,0.5686,0.9861,1.3357,1.7464,0.8198,0.7704,58190,SANORA
647,356.6013,204.3018,0,57034.5,1008.5067,0.5711,0.9792,1.4191,1.7455,0.8196,0.7585,58244,SANORA
648,365.8928,206.1113,0,58076.5,1066.3646,0.5523,0.9704,1.5581,1.7752,0.8262,0.7696,59847.5,SANORA
649,337.2738,194.2143,0,51319,987.5778,0.5744,0.9706,1.5124,1.7366,0.8176,0.7428,52871.5,SANORA
650,338.6864,193.9002,0,51255,1423.7687,0.5689,0.9358,3.1473,1.7467,0.8199,0.727,54770,SANORA
651,341.5961,196.0219,0,52829,1531.0824,0.5764,0.9368,3.5311,1.7426,0.819,0.7271,56394.5,SANORA
652,360.3818,206.1064,0,58286,1159.259,0.5714,0.9706,1.8348,1.7485,0.8203,0.7646,60054,SANORA
653,254.4639,0,88.1883,17338,665.2447,0.3409,0.9442,2.0312,0,0,0.7427,18362,SANORA
654,254.6463,0,88.2571,17369,681.5879,0.341,0.9501,2.1284,0,0,0.7086,18281,SANORA
655,233.2915,0,83.9503,13334.5,1272.2813,0.312,0.745,9.6601,0,0,0.5629,17898.5,SANORA
656,257.7905,0,87.8925,17263,666.6173,0.3307,0.9335,2.0485,0,0,0.7136,18493,SANORA
657,258.1681,0,87.1518,17449,773.1859,0.3333,0.9093,2.7264,0,0,0.713,19190,SANORA
658,345.7256,0,119.5448,30342.5,954.5412,0.3232,0.9198,2.3896,0,0,0.7339,32987,SANORA
659,342.1938,0,118.3106,30607.5,940.3991,0.3328,0.9197,2.2993,0,0,0.723,33279.5,SANORA
660,345.2869,0,118.2029,31816,1035.6955,0.3398,0.9324,2.6829,0,0,0.7325,34122,SANORA
661,349.1956,0,125.8873,32961.5,1054.4823,0.3442,0.8907,2.6845,0,0,0.7001,37007,SANORA
662,0,245.9758,150.6349,28112.5,840.0803,0,0.9189,1.9977,0,0,0.664,30592,SANORA
663,0,238.0481,128.0529,24232.5,944.2224,0,0.9223,2.9278,0,0,0.6833,26273.5,SANORA
664,0,234.0576,140.0431,25300.5,931.9382,0,0.8869,2.7317,0,0,0.6158,28526.5,SANORA
665,0,238.0309,132.4729,24573,905.7544,0,0.9161,2.6568,0,0,0.6936,26822.5,SANORA
666,0,241.2349,135.3727,25602,852.4407,0,0.9241,2.2586,0,0,0.6797,27705,SANORA
667,288.1925,168.875,0,38047.5,790.8255,0.5833,0.988,1.3081,1.7065,0.8103,0.771,38511.5,SANORA
668,290.1748,168.0186,0,38234,795.6955,0.5781,0.9867,1.3178,1.727,0.8153,0.7631,38751,SANORA
669,291.2897,168.8652,0,38437,805.2102,0.5768,0.988,1.3423,1.725,0.8148,0.7717,38903.5,SANORA
670,288.8494,168.7505,0,38110.5,795.1097,0.5816,0.99,1.3201,1.7117,0.8116,0.7723,38496,SANORA
671,295.113,172.222,0,39810.5,824.2813,0.582,0.9867,1.3581,1.7136,0.8121,0.7573,40349,SANORA
672,301.776,175.3279,0,41508.5,831.4529,0.5803,0.9866,1.3253,1.7212,0.8139,0.7586,42071.5,SANORA
673,307.276,178.4373,0,42986,843.4945,0.5797,0.988,1.3171,1.722,0.8141,0.7626,43509.5,SANORA
674,307.513,177.7589,0,42821.5,834.4234,0.5766,0.9877,1.2939,1.7299,0.816,0.7639,43353,SANORA
675,270.3175,0,91.9564,19604.5,656.6589,0.3416,0.9756,1.7503,0,0,0.7349,20094,SANORA
676,267.241,0,93.174,19627.5,648.5168,0.3499,0.9824,1.7052,0,0,0.7462,19979.5,SANORA
677,271.6735,0,92.8719,19845.5,669.8305,0.3424,0.9762,1.7991,0,0,0.7413,20329,SANORA
678,275.3986,0,91.8724,20129,699.529,0.3379,0.9776,1.9345,0,0,0.7515,20590,SANORA
679,354.0418,0,127.5361,35309.5,856.0559,0.3587,0.9852,1.6516,0,0,0.7663,35840.5,SANORA
680,360.7239,0,129.6934,36653.5,883.1686,0.3587,0.9848,1.6934,0,0,0.7603,37218.5,SANORA
681,363.3817,0,130.9581,37110,886.9848,0.3578,0.9844,1.6871,0,0,0.7766,37698.5,SANORA
682,367.8711,0,131.944,37957.5,889.3696,0.3571,0.9858,1.6583,0,0,0.7734,38506,SANORA
683,0,189.0126,104.6766,15158,503.9899,0,0.9821,1.3335,0,0,0.7679,15435,SANORA
684,0,196.3238,107.0081,15970.5,518.0315,0,0.983,1.3372,0,0,0.7622,16246,SANORA
685,0,195.692,107.4493,16164,526.9605,0,0.9788,1.3671,0,0,0.7566,16514.5,SANORA
686,0,194.5828,106.7304,15985,521.7889,0,0.9797,1.3554,0,0,0.759,16315.5,SANORA
687,0,188.951,100.4151,14824,509.4457,0,0.9778,1.3932,0,0,0.7284,15160.5,SANORA
688,0,196.9903,105.4123,16253,534.9016,0,0.9762,1.4009,0,0,0.7184,16649.5,SANORA
689,0,196.6268,105.5269,16142.5,533.3452,0,0.9766,1.4023,0,0,0.7271,16529,SANORA
690,0,195.9587,101.9016,15561.5,521.2031,0,0.9771,1.3892,0,0,0.721,15927,SANORA
691,285.5171,169.8329,0,37740.5,1024.0214,0.5895,0.9245,2.2111,1.6812,0.8039,0.7261,40822.5,SANORA
692,286.7234,170.6163,0,37692.5,942.5656,0.5838,0.9382,1.8757,1.6805,0.8037,0.7146,40176.5,SANORA
693,293.0321,171.8475,0,38736.5,1055.8204,0.5744,0.9179,2.2901,1.7052,0.81,0.6888,42202,SANORA
694,285.7877,171.1618,0,37902,925.4945,0.5909,0.9437,1.7984,1.6697,0.8008,0.7227,40164.5,SANORA
695,307.8396,187.6828,0,44711,981.4356,0.6007,0.9573,1.7143,1.6402,0.7926,0.7393,46706.5,SANORA
696,308.6458,184.1304,0,43645.5,973.7371,0.5833,0.9642,1.7288,1.6762,0.8026,0.7453,45267.5,SANORA
697,310.3702,184.7947,0,44099.5,1056.0214,0.5829,0.9496,2.0123,1.6795,0.8034,0.7324,46440,SANORA
698,309.8539,187.7614,0,44773.5,1030.992,0.5938,0.954,1.8892,1.6503,0.7955,0.7272,46930.5,SANORA
699,284.8997,0,113.5774,25115.5,778.9432,0.394,0.9597,1.9225,0,0,0.7354,26171.5,SANORA
700,282.3218,0,118.1249,25666,787.73,0.41,0.9469,1.9239,0,0,0.7494,27106.5,SANORA
701,284.5237,0,114.7072,25473.5,823.9138,0.4006,0.947,2.1206,0,0,0.6816,26900,SANORA
702,285.5826,0,114.8349,25504.5,869.5706,0.3982,0.9335,2.3593,0,0,0.7399,27322.5,SANORA
703,325.2197,0,132.2824,32550,880.4407,0.3918,0.9597,1.8951,0,0,0.7262,33917,SANORA
704,333.2325,0,135.7176,34656.5,931.1686,0.3974,0.9553,1.991,0,0,0.7441,36277,SANORA
705,330.9512,0,135.1942,33912,930.2397,0.3942,0.9519,2.0306,0,0,0.7167,35627,SANORA
706,328.1775,0,132.0651,32669.5,890.198,0.3862,0.9507,1.9303,0,0,0.7557,34362.5,SANORA
707,0,203.4148,127.8763,18989,1084.4062,0,0.8354,4.928,0,0,0.6805,22730,SANORA
708,0,212.3174,125.6986,18972.5,908.9676,0,0.8528,3.4655,0,0,0.6948,22248,SANORA
709,0,208.2855,128.2283,19273,939.0092,0,0.848,3.6407,0,0,0.6929,22728,SANORA
710,0,213.1608,132.9906,22347.5,731.7128,0,0.9586,1.9065,0,0,0.7581,23313,SANORA
711,0,221.8145,138.3123,23088,887.0092,0,0.8703,2.7118,0,0,0.6534,26527.5,SANORA
712,0,229.3615,150.3024,25417.5,1110.9331,0,0.8103,3.864,0,0,0.5725,31367.5,SANORA
713,0,231.0019,141.2014,25065.5,938.3646,0,0.884,2.7955,0,0,0.671,28355.5,SANORA
714,0,232.8357,140.8263,25206,980.8915,0,0.8821,3.0376,0,0,0.6068,28575,SANORA
715,280.415,161.1221,0,34431,767.8133,0.5575,0.9834,1.3625,1.7404,0.8184,0.7769,35010.5,SANORA
716,268.3924,157.1797,0,32712.5,901.0509,0.5782,0.9647,1.975,1.7076,0.8106,0.7443,33911,SANORA
717,277.0507,159.1417,0,33867.5,823.796,0.5618,0.9751,1.5946,1.7409,0.8186,0.7622,34734,SANORA
718,271.1379,161.9912,0,34068,837.0681,0.59,0.9772,1.6367,1.6738,0.8019,0.7545,34861.5,SANORA
719,311.3872,185.375,0,44611,849.3524,0.5858,0.9856,1.2868,1.6798,0.8035,0.7664,45264.5,SANORA
720,314.6095,187.6166,0,45232,851.2102,0.5819,0.9877,1.2747,1.6769,0.8027,0.772,45794,SANORA
721,316.699,187.7931,0,45637,856.0387,0.5793,0.9874,1.2778,1.6864,0.8052,0.7699,46220,SANORA
722,312.5244,187.6276,0,44997.5,850.4823,0.5866,0.9886,1.2792,1.6657,0.7997,0.7721,45518.5,SANORA
723,362.8617,0,154.6483,42838.5,989.8549,0.4142,0.9676,1.8201,0,0,0.773,44273,SANORA
724,369.7876,0,157.6053,44318,959.6123,0.4127,0.9767,1.6535,0,0,0.7863,45373,SANORA
725,371.4764,0,157.9585,44837.5,983.796,0.4137,0.975,1.7177,0,0,0.7735,45987,SANORA
726,384.7217,0,156.0392,45899,966.8671,0.3948,0.98,1.6208,0,0,0.7715,46834.5,SANORA
727,326.6733,0,130.4792,32838,821.7544,0.3918,0.9814,1.6364,0,0,0.7229,33461.5,SANORA
728,331.9939,0,134.1904,34020.5,862.8255,0.393,0.9665,1.7414,0,0,0.7044,35198,SANORA
729,324.682,0,132.6153,32657.5,919.6539,0.3944,0.966,2.0609,0,0,0.6914,33805.5,SANORA
730,325.1023,0,127.9176,31792.5,817.3696,0.383,0.977,1.6723,0,0,0.7288,32542,SANORA
731,0,243.5946,149.8253,28893.5,684.6833,0,0.9826,1.2911,0,0,0.7286,29406,SANORA
732,0,241.0143,149.7295,28431,680.2397,0,0.9849,1.2952,0,0,0.7227,28867.5,SANORA
733,0,240.5477,153.8151,28828.5,674.2569,0,0.9865,1.2549,0,0,0.7555,29222.5,SANORA
734,0,239.3935,147.569,27835,670.2397,0,0.9848,1.2843,0,0,0.7149,28266,SANORA
735,0,204.0864,117.1816,18735,549.0437,0,0.9876,1.2804,0,0,0.7323,18970.5,SANORA
736,0,203.1177,117.9523,18751,556.3574,0,0.9823,1.3136,0,0,0.7235,19088,SANORA
737,0,210.6275,122.2912,20199,586.0143,0,0.9804,1.3529,0,0,0.734,20602,SANORA
738,0,216.3573,121.965,20736,581.8721,0,0.9846,1.2993,0,0,0.7364,21061,SANORA
739,278.6644,164.6368,0,35490.5,984.2224,0.5819,0.9442,2.172,1.6926,0.8068,0.724,37589,SANORA
740,278.3227,161.7084,0,34598,846.3818,0.5687,0.9653,1.6477,1.7211,0.8139,0.7506,35841.5,SANORA
741,276.8784,163.0176,0,34710,841.2102,0.5765,0.9637,1.6224,1.6985,0.8083,0.7558,36018.5,SANORA
742,282.5182,161.5444,0,35370.5,896.0803,0.5642,0.9456,1.8065,1.7489,0.8204,0.7108,37404.5,SANORA
743,285.8501,169.687,0,36772,1056.6072,0.573,0.9184,2.416,1.6846,0.8047,0.7168,40037.5,SANORA
744,287.1233,168.6963,0,36843,1081.9209,0.569,0.9353,2.5283,1.702,0.8092,0.705,39390.5,SANORA
745,287.5881,168.1815,0,36508.5,1034.0803,0.562,0.9283,2.3308,1.71,0.8112,0.7,39328.5,SANORA
746,286.0947,165.7093,0,36339.5,1027.7371,0.5653,0.9144,2.313,1.7265,0.8152,0.689,39743.5,SANORA
747,235.7437,0,106.8031,19745.5,688.7422,0.4524,0.9542,1.9118,0,0,0.6928,20694,SANORA
748,240.8269,0,108.8095,20157,735.7544,0.4425,0.9393,2.1371,0,0,0.6699,21459,SANORA
749,238.3994,0,108.5055,20190.5,669.9138,0.4523,0.9562,1.7688,0,0,0.6995,21114.5,SANORA
750,249.2695,0,104.3602,18301.5,1070.2813,0.375,0.8023,4.9808,0,0,0.6127,22810,SANORA
751,243.1838,0,109.5011,18006,1051.4945,0.3877,0.7853,4.8864,0,0,0.5391,22927.5,SANORA
752,247.8531,0,105.5077,18017,1080.1808,0.3734,0.7974,5.1535,0,0,0.5934,22593.5,SANORA
753,239.5466,0,104.7029,17409.5,944.3402,0.3863,0.8,4.0762,0,0,0.5909,21761.5,SANORA
754,279.8779,174.7542,0,37657.5,809.6539,0.6121,0.9703,1.3853,1.6016,0.7811,0.7376,38811.5,SANORA
755,281.1698,178.2114,0,38530.5,836.9676,0.6206,0.9693,1.4468,1.5777,0.7735,0.7412,39752,SANORA
756,287.523,185.1413,0,40921.5,852.6245,0.6303,0.9746,1.4137,1.553,0.7651,0.7465,41987.5,SANORA
757,294.5872,182.7793,0,41698.5,821.796,0.6118,0.9855,1.2888,1.6117,0.7842,0.7585,42314,SANORA
758,269.9223,174.1381,0,36515.5,820.1392,0.6381,0.9707,1.4658,1.55,0.7641,0.735,37619.5,SANORA
759,273.7345,175.4994,0,37048,821.0681,0.6295,0.9739,1.4481,1.5597,0.7674,0.7256,38039,SANORA
760,276.8172,179.8842,0,38158,881.8965,0.634,0.964,1.622,1.5389,0.7601,0.7122,39583.5,SANORA
761,276.5647,188.5543,0,40158.5,904.2813,0.6685,0.9685,1.6204,1.4668,0.7316,0.7352,41466,SANORA
762,273.3864,0,117.3901,25387,700.5584,0.4325,0.9793,1.5384,0,0,0.7332,25922.5,SANORA
763,277.3246,0,121.8485,26066,694.4163,0.4315,0.9818,1.4722,0,0,0.7627,26548.5,SANORA
764,276.1029,0,120.4221,25603,693.5879,0.4276,0.9802,1.4952,0,0,0.7729,26119.5,SANORA
765,274.5159,0,117.874,20944.5,606.9188,0.3539,0.9821,1.3995,0,0,0.8022,21326,SANORA
766,299.9726,0,125.4579,25650.5,697.2031,0.3629,0.9777,1.508,0,0,0.7681,26234.5,SANORA
767,301.9683,0,126.5194,26174.5,703.8894,0.3655,0.978,1.5063,0,0,0.7688,26763,SANORA
768,305.0066,0,127.074,27342.5,732.5168,0.3742,0.9796,1.5617,0,0,0.7758,27910.5,SANORA
769,300.5031,0,126.7944,26351.5,708.3747,0.3716,0.9766,1.5153,0,0,0.768,26982,SANORA
770,0,186.8613,122.0169,17953.5,551.7716,0,0.9755,1.3495,0,0,0.6751,18404,SANORA
771,0,194.8834,125.5136,19307.5,558.9432,0,0.9827,1.2877,0,0,0.7063,19646.5,SANORA
772,0,197.041,125.553,19355,557.6711,0,0.9848,1.2787,0,0,0.7046,19653.5,SANORA
773,0,193.1503,124.46,18823.5,548.2569,0,0.9862,1.2707,0,0,0.7006,19087,SANORA
774,0,204.3784,121.2017,19521.5,566.7422,0,0.9843,1.3093,0,0,0.6943,19832,SANORA
775,0,204.0567,120.6678,19396.5,561.5706,0,0.9836,1.2938,0,0,0.6984,19719,SANORA
776,0,207.1947,124.0237,20184,570.2986,0,0.986,1.2823,0,0,0.6973,20471.5,SANORA
777,0,208.7086,123.7113,20286.5,574.5412,0,0.985,1.2949,0,0,0.6945,20594.5,SANORA
778,267.2776,166.7817,0,33863.5,773.8549,0.6036,0.9767,1.4073,1.6026,0.7814,0.7707,34672,SANORA
779,268.2737,167.2707,0,33906.5,816.6833,0.5998,0.9726,1.5654,1.6038,0.7818,0.7701,34862.5,SANORA
780,267.6104,163.6538,0,33531,762.1564,0.5961,0.9754,1.3786,1.6352,0.7912,0.7586,34377.5,SANORA
781,267.618,165.4891,0,33771.5,809.5118,0.6004,0.9731,1.5441,1.6171,0.7859,0.7552,34703.5,SANORA
782,308.9998,190.9155,0,44956.5,908.7666,0.5995,0.9732,1.4618,1.6185,0.7863,0.7673,46194.5,SANORA
783,310.08,194.0197,0,45674.5,923.2519,0.6048,0.974,1.4851,1.5982,0.7801,0.7892,46893,SANORA
784,314.6968,198.0971,0,47107.5,927.595,0.6056,0.9749,1.4535,1.5886,0.777,0.7711,48322.5,SANORA
785,315.6045,202.7169,0,48753,936.3229,0.6232,0.9773,1.431,1.5569,0.7664,0.7686,49887,SANORA
786,288.0234,0,122.0996,26999,813.9554,0.4144,0.938,1.9527,0,0,0.7166,28785,SANORA
787,290.7776,0,123.8714,27662.5,812.8843,0.4166,0.9408,1.9009,0,0,0.7189,29402.5,SANORA
788,291.6528,0,127.7752,28662.5,881.5118,0.429,0.922,2.1574,0,0,0.6922,31086.5,SANORA
789,291.04,0,127.4119,28660.5,859.8549,0.4308,0.9319,2.0528,0,0,0.7103,30756.5,SANORA
790,280.6467,0,113.1784,24379.5,705.1442,0.3941,0.9788,1.623,0,0,0.7665,24908.5,SANORA
791,283.4711,0,111.3194,24340.5,696.6589,0.3857,0.98,1.5867,0,0,0.7532,24838.5,SANORA
792,287.7328,0,113.7472,25009.5,724.8011,0.3846,0.9752,1.6716,0,0,0.7712,25644.5,SANORA
793,285.8382,0,114.1791,25036.5,707.4874,0.3902,0.9813,1.5909,0,0,0.7693,25513.5,SANORA
794,0,196.6436,132.4365,20226,702.4407,0,0.9401,1.9413,0,0,0.6824,21515.5,SANORA
795,0,204.0291,138.9355,21976.5,689.3696,0,0.9479,1.7208,0,0,0.67,23185,SANORA
796,0,207.6021,137.0845,21960.5,635.7128,0,0.959,1.4644,0,0,0.6828,22900.5,SANORA
797,0,209.3972,134.6335,22132,607.8133,0,0.9692,1.3283,0,0,0.7301,22836.5,SANORA
798,0,176.3841,123.6088,17148,529.2447,0,0.9761,1.2998,0,0,0.7177,17567.5,SANORA
799,0,176.8649,123.4582,17092,529.73,0,0.9744,1.3065,0,0,0.7154,17541.5,SANORA
800,0,175.6025,125.6623,17364,525.73,0,0.9756,1.2667,0,0,0.7186,17799,SANORA
801,0,175.8104,126.5315,17505,524.2153,0,0.9791,1.2492,0,0,0.7164,17878.5,SANORA
802,292.6097,173.8908,0,39063,792.5828,0.5809,0.9893,1.2797,1.6827,0.8043,0.7588,39486.5,SANORA
803,288.0609,175.0231,0,39243,821.7544,0.6021,0.9867,1.3693,1.6458,0.7943,0.7623,39771,SANORA
804,290.8679,174.6238,0,39229.5,815.1686,0.5904,0.9875,1.3479,1.6657,0.7997,0.7594,39724.5,SANORA
805,292.6312,176.2994,0,39682,796.5828,0.59,0.9884,1.2725,1.6599,0.7981,0.7555,40147,SANORA
806,275.1238,169.0513,0,35726.5,753.0265,0.601,0.9895,1.263,1.6275,0.789,0.7744,36107,SANORA
807,273.2862,167.7828,0,35329,746.4407,0.6023,0.9903,1.255,1.6288,0.7893,0.776,35676.5,SANORA
808,273.6818,168.7094,0,35461.5,749.0265,0.6028,0.9907,1.259,1.6222,0.7874,0.776,35795.5,SANORA
